Tag	g__Abiotrophia	g__Acinetobacter	g__Actinomyces	g__Aggregatibacter	g__Alloprevotella	g__Anaeroglobus	g__Arachnia	g__Bulleidia	g__CAJPNX01	g__Campylobacter	g__Campylobacter_A	g__Campylobacter_B	g__Candidatus_Minimicrobia	g__Capnocytophaga	g__Cardiobacterium	g__Catonella	g__Centipeda	g__Corynebacterium	g__Cutibacterium	g__Dialister	g__Eikenella	g__Escherichia	g__F0422	g__Filifactor	g__Frankia	g__Fusobacterium	g__Gemella	g__Granulicatella	g__Haemophilus	g__Haemophilus_A	g__Haemophilus_D	g__Halomonas	g__Herbaspirillum	g__JABCPH02	g__Johnsonella	g__Kingella_A	g__Kingella_B	g__Lachnoanaerobaculum	g__Lacticaseibacillus	g__Lactobacillus	g__Lancefieldella	g__Lautropia	g__Leptotrichia	g__Leptotrichia_A	g__Ligilactobacillus	g__Limosilactobacillus	g__Metamycoplasma	g__Mogibacterium	g__Moraxella_C	g__Moryella	g__Nanogingivalis	g__Nanoperiomorbus	g__Nanosynbacter	g__Nanosyncoccus	g__Neisseria	g__Olsenella_F	g__Oribacterium	g__Ottowia	g__Parvimonas	g__Pauljensenia	g__Peptidiphaga	g__Peptostreptococcus	g__Phreatobacter	g__Porphyromonas	g__Prevotella	g__Pseudomonas_E	g__Pseudostreptobacillus	g__Ralstonia	g__Rothia	g__Scardovia	g__Selenomonas	g__Serratia	g__Slackia	g__Solobacterium	g__Sphingomonas	g__Staphylococcus	g__Streptococcus	g__Tannerella	g__Tepidiphilus	g__Treponema	g__Treponema_D	g__Veillonella
CRR813112	0.000396989	0	0.005320541	0	0.01287664	0	0	0.002656944	0	0	0.024746393	0	0.003896703	0.098830324	0.000343762	0.002971874	0.005486877	0.001501462	0	0	0	0	0	0.000310494	0	0.054467348	0.004730602	0.010561241	0.027547496	0.009283778	0.087111384	0	0	0	0	0.000871602	0	0.00791095	0	0	0.004054168	0.000676434	0.007518397	0.006039114	0	0	0	0.002242212	0	0	0	0	0.009086393	0	0.311669702	0	0.004056386	0	0.000572197	0.015329545	0	0.000470177	0	0.023185051	0.142911638	0	0	0	0.020388384	0	0	0	0	0	0	0	0.07819576	0.001962767	0	0.000989146	0	0.008829126
CRR813113	0.000377828	0	0.007983132	0.002244113	0.009716874	0	0	0.009751914	0	0	0.017416633	0	0.005533346	0.032758264	0	0.004140869	0.001809916	0	0	0	0.00221212	0	0.000702333	0	0	0.017360265	0.003933673	0.030707634	0	0	0.207105902	0	0	0.001467129	0	0	0	0.025142295	0	0	0.006951724	0.002030823	0.006278337	0.033632751	0	0	0.001320873	0.003010433	0	0.004392246	0	0	0.003685343	0	0.116241406	0	0.022450272	0	0.00067491	0.051055481	0	0.000159967	0.000175202	0.031585169	0.156463289	0	0	0.000188914	0.010291232	0	0.000263565	0	0	0.000525607	0	0	0.055956576	0.01002919	0	0.000205672	0	0.102066778
CRR813114	0.007903996	0	0.388833065	0	0.002189988	0.000861682	0.005078482	0.000709957	0	0	0.003426688	0.000938975	0.000334939	0.012876556	0	0	0.006658708	0.010600687	0	0	0.000294861	0	0.004955385	0	0	0.007881094	0.008007054	0.010239983	0.007291372	0	0.019672675	0	0	0.000944701	0	0.00044086	0.001651795	0.002479124	0	0	0.00175199	0.004402878	0.006097613	0.002879906	0	0	0	0.000858819	0	0.000755761	0.000709957	0	0.002530652	0	0.024547904	0	0.000415096	0	0	0.005645301	0.029403092	0	0	0.000403645	0.045162416	0	0	0	0.063131768	0	0	0	0	0	0	0	0.247216711	0.000555369	0	0	0	0.059258496
CRR813115	0	0	0.001028524	0	0.000786202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001055449	0	0	0	0.001502399	0.038938519	0.009240562	0	0	0	0	0	0	0	0	0.001238537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589635	0	0	0	0.078657857	0	0	0	0	0	0	0	0.633220788	0	0	0	0	0.218434813
CRR813116	0.003089204	0	0.19424116	0	0.001845354	0.001923327	0	0.001849067	0	0	0.004704354	0.00046041	0.000846561	0.026588694	0	0.000393577	0.000779727	0.037801912	0	0	0	0	0.006442031	0	0	0.006486587	0.002944398	0.020666481	0	0	0	0	0	0.000790866	0	0	0	0.020213497	0	0	0.008981714	0.000683189	0.028783069	0.009041121	0	0	0.000813144	0.00060893	0	0	0	0	0.001800798	0	0.112273277	0	0.002042142	0	0	0.038436832	0	0.000434419	0	0.003995173	0.134907638	0	0	0	0.02620997	0	0	0	0	0	0	0	0.273947831	0.000456697	0	0	0	0.024516848
CRR813117	0	0	0.014821494	0	0	0	0	0	0	0	0.003437685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007551636	0	0	0.611118937	0	0	0	0	0	0	0	0	0.015638649	0	0	0	0.005241061	0	0	0	0	0	0	0	0	0	0	0	0	0.006480881	0	0	0	0	0.080701063	0	0	0	0.003888529	0.110287694	0	0	0	0.003155907	0	0	0	0	0	0	0	0.120065374	0	0	0	0	0.017611091
CRR813118	0.000618101	0	0.010866062	0.000864583	0.010083007	0.001505436	0	0.01796095	0.000199082	0.000259754	0.017640523	0	0.000771678	0.010492547	0	0.001141401	0.002595644	0	0	0	0	0	0.000826662	0	0	0.051926161	0.007714885	0.026858948	0.00753666	0.000583973	0.098456266	0	0	0.005056672	0	0.000946111	0	0.019417088	0.000267338	0	0.012305137	0.00027113	0.028216495	0.004065056	0	0	0	0.006222721	0.000314738	0.004275514	0.000392475	0	0.003213745	0.004698325	0.117920755	0	0.007705404	0	0.000263546	0.076333563	0	0.003045	0.000358347	0.038589592	0.204185643	0	0.000786846	0.000356451	0.017615875	0	0	0	0	0.001203969	0	0	0.084025693	0.0004759	0	0.001025745	0	0.087542803
CRR813119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609433962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390566038	0	0	0	0	0	0	0
CRR813120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813121	0.033772074	0	0.017918889	0	0	0	0	0.012874707	0	0	0	0	0.018207174	0.023203297	0	0	0	0	0	0	0	0.011289359	0	0	0	0	0.063268647	0.050922346	0	0	0.015372813	0	0	0	0	0	0	0.005908915	0	0	0.020801283	0	0	0	0	0	0	0.005764797	0	0	0	0	0.005380477	0.060866666	0	0	0.010424683	0	0	0.014363954	0	0.014652223	0	0.039681046	0.050586068	0	0	0	0.142198279	0	0	0	0	0	0	0	0.346800529	0.014508072	0	0	0	0.021233703
CRR813122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813123	0.009284988	0	0.013938777	0	0.015452389	0.005297639	0.002744832	0.00213487	0	0	0.005105614	0	0.013712865	0.025595843	0.003151474	0.001705637	0.010391958	0	0	0	0	0	0	0	0	0.021280921	0.005952785	0.016570653	0.315373322	0	0.027888851	0	0	0.011690952	0	0.005839828	0	0.008042471	0	0	0.005636507	0.016073647	0.025663617	0.005184683	0	0	0	0.001253812	0	0.00503784	0	0	0.01045973	0	0.025912121	0	0.004145487	0	0	0.031898791	0	0	0	0.012289619	0.114616514	0	0	0	0.042753869	0	0	0	0	0	0	0	0.143815657	0	0	0	0	0.034101435
CRR813124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813125	0.009577507	0	0.097055347	0	0.037940713	0.002006598	0.008395706	0	0	0	0.002819086	0	0	0.053377979	0.009823715	0	0.009183573	0.028277033	0	0	0.003151467	0	0.013369116	0	0	0.011657967	0	0.018687218	0.130699724	0	0.011251723	0	0	0	0	0	0.006081347	0.003274572	0	0	0.001809632	0.032376403	0.009343608	0.006598385	0	0	0	0	0	0	0	0	0	0	0.195378669	0	0.001231042	0.010020682	0	0.013541461	0.004050128	0	0	0.047493598	0.080042347	0	0	0	0.019315048	0	0.002905259	0	0	0	0	0	0.093583811	0.005712035	0	0	0.001317215	0.018650286
CRR813126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813128	0	0	0.018734177	0	0.071561182	0	0	0	0	0	0.087848101	0	0.015443038	0	0	0	0	0	0	0	0	0	0.030632911	0	0	0.023628692	0	0	0.0678481	0	0.024978903	0	0	0	0	0	0	0	0	0	0	0	0.027088607	0	0	0	0	0	0	0	0	0	0	0	0.231054853	0	0	0	0	0.01299578	0	0	0	0.040421941	0.273670888	0	0	0	0	0	0	0	0	0	0	0	0.01670886	0	0	0	0	0.057383966
