Tag	g__Streptococcus	g__Prevotella	g__Sphingomonas	g__Veillonella	g__Escherichia	g__Pauljensenia	g__Neisseria	g__Rothia	g__Acinetobacter	g__Moraxella_A	g__Haemophilus	g__Granulicatella	g__Haemophilus_D	g__Actinomyces	g__Brevundimonas	g__Alloprevotella	g__Porphyromonas	g__Anaeroglobus	g__Fusobacterium	g__Lancefieldella	g__Gemella	g__Moraxella	g__Pseudomonas	g__Klebsiella	g__Nanosynbacter	g__Capnocytophaga	g__Achromobacter	g__Campylobacter_A	g__Lachnoanaerobaculum	g__Leptotrichia	g__Leptotrichia_A	g__Candidatus_Minimicrobia	g__Noviherbaspirillum_A	g__JABCPH02	g__Abiotrophia	g__Corynebacterium	g__Cutibacterium	g__Centipeda	g__Tannerella	g__Bulleidia	g__Lactobacillus	g__Oribacterium	g__F0422	g__Sphingomicrobium	g__Lautropia	g__Moryella	g__Methylobacterium	g__Mogibacterium	g__Cardiobacterium	g__Bordetella	g__Enterococcus	g__Nanogingivalis	g__Faecalibacterium	g__Staphylococcus	g__Eikenella	g__Enterobacter	g__Bifidobacterium	g__Acidovorax	g__Blastomonas	g__Microvirga	g__Nanosyncoccus	g__Haemophilus_A	g__Peptostreptococcus	g__Arachnia	g__Bradyrhizobium	g__Alistipes	g__Catonella	g__Campylobacter_B	g__Ottowia	g__CAJPNX01	g__Aggregatibacter	g__Afipia	g__Agromyces	g__Ralstonia	g__Metamycoplasma	g__Dolosigranulum	g__Akkermansia	g__Candidatus_Nanosynbacter	g__Pseudomonas_E	g__Parvimonas	g__Diaphorobacter	g__Deinococcus	g__Phocaeicola	g__Lysobacter	g__Solobacterium	g__Pseudoxanthomonas_A	g__Duncaniella	g__Fannyhessea	g__Allosphingosinicella	g__Microbacterium	g__Limosilactobacillus	g__Aquabacterium	g__Thiobacillus	g__Bacteroides	g__Treponema	g__Pelomonas	g__Salmonella	g__Gemmiger	g__Tepidimonas	g__Mycobacterium	g__Selenomonas	g__Collinsella	g__Epilithonimonas	g__Peptidiphaga	g__Muribaculum	g__U87765	g__Parafannyhessea	g__Kingella_B	g__Xanthomonas	g__Dialister	g__Dysosmobacter	g__Vescimonas	g__Sutterella	g__Lawsonibacter	g__Acetilactobacillus	g__Hominicoprocola	g__Kingella_A	g__Slackia	g__Agathobacter	g__Bergeyella_A	g__Pseudostreptobacillus	g__Shuttleworthia	g__Scardovia	g__Adlercreutzia	g__Roseburia	g__Lepagella	g__Vibrio	g__Agathobaculum	g__Paracoccus	g__Streptobacillus	g__Paramuribaculum	g__Phascolarctobacterium_A	g__Filifactor	g__Flavonifractor	g__Stenotrophomonas	g__Nocardioides	g__Treponema_D	g__Candidatus_Nanoperiomorbus	g__Fretibacterium	g__Brevibacterium	g__Serratia	g__Candidatus_Nanosynsacchari	g__Olsenella_F	g__Arthrobacter	g__Ligilactobacillus	g__Acetatifactor	g__Propionibacterium	g__Kocuria	g__CAG-266	g__Dyella_B	g__Treponema_B	g__Brachybacterium	g__Fusobacterium_C	g__Jeotgalicoccus	g__Fusicatenibacter	g__Ruminococcus_E	g__Neglectibacter	g__Sphingobium	g__Methylobacillus	g__Nesterenkonia	g__Desulfovibrio	g__Thermus	g__Mesorhizobium	g__Campylobacter	g__Treponema_C	g__Comamonas	g__Salinicoccus	g__Enterococcus_B	g__Variovorax	g__Janibacter	g__Granulimonas	g__Zoogloea	g__Vreelandella	g__Dorea_A	g__Merdivivens	g__Allisonella	g__Roseomonas	g__Otoolea	g__Parabacteroides	g__Vermiculatibacterium	g__Glutamicibacter	g__Micrococcus	g__Piscicoccus	g__Blautia_A	g__Agrobacterium	g__Friedmanniella	g__Mediterraneibacter	g__Nanoperiomorbus	g__Paraprevotella	g__Anaerotignum	g__Blautia	g__Blastococcus	g__Caulobacter	g__Desulfobulbus	g__Nocardiopsis	g__Pyramidobacter	g__Coprococcus	g__Lacticaseibacillus	g__Rhodococcus	g__Hominimerdicola	g__Sediminibacterium	g__Bariatricus	g__Azospira	g__Stutzerimonas	g__Bilophila	g__Eggerthella	g__Cryptobacterium	g__Labilithrix	g__Yimella	g__Aquincola	g__Hominisplanchenecus	g__Ramlibacter	g__Janibacter_A	g__Rubrobacter_E	g__QFOP01	g__Tractidigestivibacter	g__Ezakiella	g__Johnsonella	g__Helicobacter	g__Megasphaera	g__Amaricoccus	g__Barnesiella	g__Nakamurella	g__Roseateles	g__Streptomyces	g__Megasphaera_C	g__Phreatobacter	g__Reyranella	g__Telluria	g__Trinickia	g__Actinomycetospora	g__Gaiella	g__Sorangium	g__Enterorhabdus	g__Solirubrobacter	g__Lachnospira	g__Methylophilus	g__Arsenicicoccus	g__Methylovorus	g__Alistipes_A	g__Jiangella	g__Cloacibacterium	g__Evtepia	g__Ruminococcus_B	g__Cellulomonas_A	g__Azonexus	g__Cellulosimicrobium	g__Curvibacter	g__Aquabacterium_A	g__Gulosibacter	g__Amnibacterium	g__Ruthenibacterium	g__Nocardioides_B	g__Odoribacter	g__Lachnoclostridium_B	g__Mesosutterella	g__Xylanimonas	g__Enterenecus	g__Anaerostipes	g__Hominiventricola	g__Jutongia	g__Paenirhodobacter	g__Isoptericola	g__Hominilimicola	g__Alitiscatomonas	g__Tepidiphilus	g__Aeromicrobium	g__Gordonia	g__Georgenia	g__Sporofaciens	g__Pasteurella	g__Methyloversatilis	g__Gelidibacter	g__Dermacoccus	g__Peptoanaerobacter	g__Psychrobacter
HD0031091-BJ15	0	0	0.629749768	0	0	0	0	0	0	0	0.370250232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031092-BJ36	0.011187679	0	0.040020654	0	0	0	0	0	0.00475556	0.017224563	0	0	0	0	0.006310998	0	0	0	0	0	0	0	0.37167318	0.221369423	0	0	0.30256456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022617598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002275784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031093-BJ61	0.039952343	0.022292826	0.445485835	0.021710352	0	0	0	0	0	0.158644427	0	0	0	0	0.068202277	0	0	0	0	0	0	0	0	0.080566587	0	0	0.012734975	0	0	0	0	0	0	0	0	0	0.030076781	0	0	0	0.074291766	0	0	0	0	0	0.034471803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011570029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031094-BJ64	0.298994292	0	0.538733351	0	0	0	0	0	0	0.162272357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031095-BJ72	0.102830289	0.009040778	0.245601475	0.027350832	0	0.004318552	0	0.042789465	0	0.271093881	0	0	0	0.003054214	0.099448566	0	0	0	0	0	0	0	0	0.023527351	0	0	0.00560574	0	0	0	0	0	0.025850382	0	0	0.012597682	0.020549301	0	0	0	0.00649687	0	0	0.033611588	0.003404572	0	0	0	0	0	0	0	0	0.025241062	0	0	0	0.004547047	0	0.004356635	0	0	0	0	0.002780021	0	0	0	0	0	0	0	0.009010313	0	0	0	0	0	0	0	0	0.003054214	0	0.005514342	0	0.00430332	0	0	0.004021509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031096-BJ76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031097-BJ87	0.40556318	0.061384556	0.003478828	0.070026137	0	0.030598286	0.127774456	0.037158459	0	0.002544572	0	0.029417161	0.092780073	0.00947505	0.001907014	0.016509711	0.024477496	0.004640702	0.018251391	0.004149227	0.006059638	0	0	0.000439383	0.020617038	0.006957657	0	0.003844604	0.00390802	0.001006731	0.00443913	0	0	0	0.000909342	0	0.000637559	0	0.000494872	0.001959106	0	0.001799433	0.00041447	0	0	0	0	0.000952374	0	0	0	0	0	0	0	0	0	0	0	0	0.002039508	0	0.000637559	0.001862849	0	0	0.000884429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031098-BJ91	0.186561266	0.066047073	0.072189581	0.008489122	0	0.00538404	0.062325962	0.026980736	0	0.068073212	0.048192857	0.031620554	0.019623972	0.007801873	0.053366806	0.026970053	0.052344835	0.002941281	0.060794787	0	0.030712531	0.018808532	0	0	0.008051134	0.027917246	0	0.00367126	0.009984689	0	0.003158495	0	0.01105295	0	0	0	0	0.00240715	0	0	0	0.001805363	0.042096642	0.016978242	0	0.006081971	0	0	0.005512232	0	0	0	0	0	0	0	0	0	0	0.003624969	0	0	0	0.002043941	0	0	0	0	0	0	0	0	0.002271837	0	0	0	0	0	0	0	0	0.002973329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001139479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031099-BJ97	0	0	0.246918652	0	0	0	0	0	0	0.753081348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031100-BJ111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
