Tag	g__Abiotrophia	g__Acinetobacter	g__Stenotrophomonas	g__Pseudomonas	g__Serratia	g__Ralstonia	g__Streptococcus	g__Klebsiella	g__Sphingomonas	g__Granulicatella	g__Prevotella	g__Veillonella	g__Bradyrhizobium	g__Cutibacterium	g__Sediminibacterium	g__Neisseria	g__Aquabacterium	g__Haemophilus_D	g__Porphyromonas	g__Corynebacterium	g__Bacteroides	g__Vibrio	g__Caulobacter	g__Alloprevotella	g__Phocaeicola	g__Pauljensenia	g__Haemophilus	g__Stutzerimonas	g__Anaeroglobus	g__Faecalibacterium	g__Enterobacter	g__Shewanella	g__Deinococcus	g__Rothia	g__Staphylococcus	g__Escherichia	g__Alistipes	g__Lancefieldella	g__Fusobacterium	g__Capnocytophaga	g__Tropheryma	g__Megamonas	g__Actinomyces	g__Leptotrichia	g__Streptomyces	g__Roseburia	g__Campylobacter_A	g__Moraxella_A	g__Megasphaera	g__Agathobacter	g__Duncaniella	g__Microbacterium	g__Parabacteroides	g__Nanosynbacter	g__Mogibacterium	g__Candidatus_Minimicrobia	g__Spiroplasma	g__Acetatifactor	g__Lachnoanaerobaculum	g__Dialister	g__Leptotrichia_A	g__F0422	g__Ruminococcus_E	g__Blautia	g__Bulleidia	g__JABCPH02	g__Centipeda	g__Haemophilus_A	g__Oribacterium	g__Pseudomonas_E	g__Phascolarctobacterium	g__Tannerella	g__Gemella	g__Treponema	g__Hominicoprocola	g__Yersinia	g__Peptostreptococcus	g__Blautia_A	g__Salmonella	g__Bifidobacterium	g__Akkermansia	g__Gemmiger	g__Citrobacter	g__Limnospira	g__Muribaculum	g__Kingella_A	g__Fusicatenibacter	g__Bariatricus	g__Taurinivorans	g__Dysosmobacter	g__Nanosyncoccus	g__Mediterraneibacter	g__Wujia	g__Collinsella	g__Anaerostipes	g__Anthropogastromicrobium	g__Dorea_A	g__Moraxella	g__Flavonifractor	g__Agathobaculum	g__Anaerotignum	g__Gallintestinimicrobium	g__Acidovorax	g__Lachnospira	g__Hominimerdicola	g__Thermoactinomyces
HB024825	0	0	0	0.010381466	0	0.668949977	0	0	0.04609249	0	0.012360338	0	0.149206929	0.050050234	0	0	0.007367492	0	0	0.003287972	0	0	0	0.017353183	0	0	0	0.015648309	0	0	0	0.004779736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003287972	0.011233903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HB024828	0	0	0	0.031669285	0	0.467303274	0	0	0.091865105	0	0	0	0.208751361	0.176598573	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023812402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HB024829	0	0	0	0	0	0.564615384	0	0	0.311628372	0	0	0	0.02015984	0.03004995	0	0	0.052707293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012587413	0.008251748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021417-B1	0	0.477065424	0	0.149366489	0	0.003996406	0.03430835	0.004217009	0	0.007935265	0.124825354	0.043324245	0	0	0	0.028575903	0	0.001665703	0	0	0.023409351	0.006522136	0	0.002142073	0.01129864	0	0	0	0.013897903	0.01082227	0	0	0	0	0	0	0.005016289	0	0.004108306	0.005147372	0	0.002266761	0.012440014	0.005937062	0	0	0.00202378	0	0	0	0	0	0.001963035	0	0	0	0.004498355	0.004776504	0	0	0	0	0.00320352	0.003603161	0	0	0	0	0	0	0.001643322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021418-B2	0	0.362960831	0.049193728	0.155191512	0	0	0.054451158	0.003603776	0	0.00710833	0.120339651	0.064528969	0	0	0	0.020674168	0	0	0.00832849	0	0.014318251	0.007586711	0	0.010090809	0.013202036	0.008650948	0	0	0.005753523	0.009757717	0	0	0	0.001068967	0.001783579	0.00231393	0.005084973	0.011371204	0.003423055	0	0	0.000904784	0.000302382	0	0	0.001922959	0.002226523	0	0	0.004613683	0.000614214	0	0.000998099	0	0.002293849	0	0.002382438	0.001613491	0	0.000909507	0.001768223	0	0.002951765	0.000620119	0.00352936	0	0	0	0.001177633	0.001892249	0.000674454	0	0.000626027	0	0.002107224	0.002101316	0.000767768	0.002068244	0.001431588	0.001768227	0.001707984	0.001353633	0.00135245	0.001307567	0.00128276	0	0.001053612	0.000863444	0.000823281	0.000806744	0	0.000753591	0.000725245	0.00067091	0.000657916	0.000630748	0.000575235	0	0.000455935	0.000437037	0.000426407	0.000415773	0	0.000362622	0.000284664	0
HD0021419-B3	0	0.5813516	0	0.124258356	0	0.193671313	0	0	0.051661764	0	0	0	0	0	0	0	0	0	0	0	0	0.049056967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021420-B4	0	0.664822466	0	0.232967899	0	0	0	0	0	0	0.006160314	0	0	0.007800145	0	0	0	0	0	0	0.014821735	0.011050611	0	0	0.012841286	0	0	0	0	0.00785367	0	0	0	0	0.008364597	0.009838985	0.006622581	0	0	0	0	0	0	0	0	0.00561046	0	0	0	0.003926835	0.004802709	0	0	0	0	0	0	0	0	0.002515704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021421-B5	0	0.513291286	0	0.391279036	0	0.095429678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021422-B6	0	0.261514027	0	0.12771308	0	0.445738475	0	0	0.165034418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021423-B7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021424-B8	0	0.664723305	0	0.140563873	0	0.030056199	0	0	0	0	0.040971209	0.023533803	0	0	0	0	0	0	0	0	0.021324128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062774493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01605299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021425-B9	0	0.013125814	0	0	0	0	0.20779943	0	0	0.339632948	0.05068945	0.042137188	0	0	0	0.189944023	0	0.017835899	0.017709127	0	0	0	0	0.013818186	0	0	0.011253484	0	0	0	0	0	0	0	0	0	0	0	0.018752559	0.024106252	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011029196	0	0.019230397	0	0	0	0	0.012335926	0.010600122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021426-B10	0	0.323129212	0	0	0	0.096176418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58069437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021427-B11	0	0.000578555	0.997286776	0.000932047	0	0.00028429	0	0	0	0	0.000296759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021428-B12	0	0.738887456	0	0.169108507	0	0.092004037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021429-B13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
